ISO_C3,start,end,avg_level,trend_annual,Pvalue,avg_vol_withinYr,avg_vol_btwYr,inter_quartile,mad
AFG,0.408852320328,0.439664118,0.40401121499186443,5.874581739100031e-4,0.28936128706711883,0.3454179687518644,0.07193937942061107,0.07988892600000003,0.056343305877828216
AGO,1.138581192768,1.020534498564,1.0536705365959322,-7.025056800490544e-4,0.3993039681472119,0.9094004307376271,0.10794468728354645,0.14864381628000012,0.08533972962677391
ALB,1.129592786064,1.099541186676,1.0607345908515253,-5.747538961823872e-4,0.6409354329404473,0.6437646998216949,0.15925521970076184,0.20590531859999994,0.1266228549635852
ARE,0.065738717454,0.0731928506472,0.08092307447715254,-2.6403060968626936e-4,0.48441505768726656,0.14796493529308474,0.04885678088677104,0.063347747088,0.03607145315478081
ARG,0.860357592996,0.9666618352440001,0.9308035525322034,0.0017832635794155615,0.05289401905251364,0.4740093770583051,0.12091307468708269,0.14624341811999986,0.0944006153127492
ARM,0.447312221592,0.472173126276,0.4590316733837288,7.34121598534163e-4,0.24329720557029044,0.29801914997898304,0.08172133874527245,0.09509481672000003,0.06348858902154553
AUS,0.893702128368,0.807531266928,0.8550769251823729,-0.002943400513956776,0.003595893536272353,0.3370111501138983,0.13544745040126224,0.16700128272000003,0.10865359018741741
AUT,1.027075855356,1.05568880598,1.0057330010440677,0.001158448474260662,0.12086056732022477,0.45752322762711867,0.09744834311998456,0.1279795037399999,0.07453649271505887
AZE,0.4404984234,0.41629763778,0.42525964840677966,-4.831566507422788e-4,0.3179709129219833,0.222147441219661,0.06273944567114197,0.08601530112,0.048960795270853195
BDI,1.30126542888,1.267269383304,1.2467340946413559,-8.134124548685114e-4,0.3527048330737942,0.8982283746081356,0.11343122497694373,0.10745599163999997,0.08432532803672507
BEL,0.849673307016,0.834374145444,0.838242562779661,5.02017570641749e-4,0.5653010186499181,0.3821540630440678,0.11288638841624711,0.15876249497999995,0.08999382049116919
BEN,1.229258079312,1.10062986402,1.0916885823905085,-7.12684434578628e-4,0.5664588608461489,0.8446437172250848,0.16073502966967707,0.16534605996000018,0.11635074269950013
BFA,0.8767752449280001,0.84985467774,0.7983377361355932,1.2008883982233127e-4,0.8567788755556849,0.9676116868413559,0.08591906581035513,0.11489628624000003,0.06974010377939674
BGD,2.14087589688,2.07016085544,2.155162884874576,-0.0012000568245937916,0.5826459961892403,2.1482126769966103,0.2823188388647938,0.40718885939999994,0.22716695123769035
BGR,0.612931031412,0.66483098544,0.6145047072955933,7.46373827572183e-4,0.31891827520411,0.31075094816135596,0.09710728646377602,0.12329851746000009,0.07522951231280667
BHS,1.29789951612,1.3818228378,1.3199119162128814,0.002250903767656309,0.10523079176377141,0.8487290369186441,0.18147407041201608,0.2502996527999999,0.14913408082845164
BIH,1.077169609812,1.103289347832,1.042897051600678,8.359479248556181e-4,0.473850390119847,0.4829818230711864,0.15102815567677497,0.20687482806000013,0.12179996612538929
BLR,0.611465423748,0.636525643116,0.618551516121356,8.346327079672617e-4,0.11943385172629722,0.3113999777227119,0.06994502939756779,0.09406755024000002,0.05763784898854353
BLZ,1.79131724784,1.98730196916,1.9291298616610169,0.002467904169889027,0.24007783580665326,1.278822382299661,0.2728735603912085,0.32375428740000034,0.21334866946279804
BOL,0.741381979104,0.8228612024640001,0.8212361463925424,5.279286279485661e-4,0.4923705830095694,0.6403095814800001,0.09948496438434735,0.10271832636,0.07541229796343578
BRA,1.448745983196,1.44475369296,1.4874581513349152,2.1923368831559259e-4,0.8063209214858861,0.6838701150630508,0.11547566749785287,0.1600846440000001,0.09199037241873026
BRN,2.98992843012,3.28016850408,3.0766140036,0.005725190812109833,0.07925637433290113,1.4350951643552543,0.426925970834049,0.6759876780000003,0.35285957288135594
BTN,2.19493657716,2.23500609276,2.2924316956271187,1.4901884437166653e-4,0.9350316737249624,2.4531590317220338,0.23602354974501155,0.29512403279999955,0.1941109622368285
BWA,0.40509859884,0.411231126108,0.42282730964135595,-7.349487547679703e-4,0.33077113032443106,0.46706859020542374,0.09797184353684654,0.14401040022,0.0819910142304855
CAF,1.503179892,1.45193749092,1.4332465879322034,-7.213104949620189e-4,0.29727033160025035,1.0532547916454238,0.08977563912898422,0.1046443572000002,0.0695667911806952
CAN,0.886030569096,1.00404307578,0.9552290190122034,0.0018127942467843358,1.5939293604047309e-4,0.22066001115254238,0.06593594667181586,0.09312785664,0.052063218334179845
CHE,1.312385531196,1.2895499443560001,1.3212464083871187,4.542453199391939e-4,0.7126488921684632,0.5810255077545763,0.15932811465944197,0.2196580751999999,0.13034142828472278
CHL,0.602312787912,0.48547727260800005,0.6181789296833898,-0.002069282231593238,0.11539744951988908,0.6321766491030508,0.17155516079474992,0.2354869503,0.13818559943724218
CHN,0.969178321404,0.995880127104,0.9719080226766101,1.977643726359038e-4,0.6841325109935346,0.6705738905776271,0.06280536697757629,0.07288530665999993,0.0487907901728239
CIV,1.5718401342000001,1.422222644184,1.4389507940847457,-0.0019224102473758273,0.13508231337028467,0.9622085884718644,0.16773302564711362,0.12363800460000007,0.11286519918735997
CMR,1.83075953616,1.61560354272,1.7191535261288136,-0.0019343589169374916,0.10638016855919953,1.2856842483742372,0.15645606520036173,0.17474124839999972,0.11547435916874461
COD,1.5387067669199999,1.47731462196,1.4607342388677966,-0.0013184416108474309,0.04096169428590821,0.5594080231688136,0.08482635515807951,0.10481638980000008,0.06553358588359666
COG,1.51127128464,1.51858585272,1.491684532480678,0.0013922759026815197,0.2014939963458029,1.107421139780339,0.14174441419581932,0.21341424779999985,0.11727452831117494
COL,1.74674748876,1.8298600059599999,1.8289792986915254,0.001963821937977764,0.33091678405950253,0.7579321973227119,0.26186415086142667,0.31193978460000005,0.19877032399701236
COM,1.90446002628,1.79903002788,1.7902034162135594,-0.004264991270566863,0.05875880850329847,1.286669073317288,0.29596422094621333,0.3394000097999996,0.2221662783057742
CPV,0.40898000852399996,0.340270001604,0.31697797000922034,-1.8995924221786882e-4,0.8277430202598985,0.48030936600427115,0.1127306753905835,0.13585000211999998,0.0878404486219684
CRI,3.130350825,2.76936595572,2.975184426020339,-0.005332847596516743,0.059280589820492495,1.7740389165254238,0.37080569929849494,0.5407808964000003,0.30701299669796034
CUB,1.357931877252,1.39915080174,1.359719308759322,0.0016740774775967006,0.24359441727020864,0.956391417781017,0.18647197588553635,0.29606873328000005,0.15294397488744615
CYP,0.48010343690400004,0.44586710082000003,0.43403255227322035,-4.69810542592624e-4,0.5591227704523445,0.5097901500671186,0.10399253478200744,0.14442478560000005,0.085937896278081
CZE,0.681061586184,0.670567122336,0.6587468062271187,8.463310942372308e-5,0.8871988392753994,0.3300555858772881,0.07703618513780527,0.11668129668000005,0.06212148206781959
DEU,0.749616528756,0.700837257768,0.7259217993376271,-8.389758002103302e-5,0.9029053585931018,0.28346343150101694,0.08879540141930188,0.12127188156000002,0.07053410885198504
DJI,0.27776425746,0.274088950668,0.2502748397304407,2.3353833583592354e-4,0.7247894509816292,0.27261529724094913,0.08568749402511965,0.10544452769999996,0.06732068505107727
DNK,0.689743029564,0.704152321356,0.6689492349579661,9.794819019591024e-4,0.15879204590491655,0.317822051259661,0.09053035562394955,0.12734343504,0.07295089077786841
DOM,1.335895118016,1.345480035432,1.3890179546644068,0.00136645446903333,0.45841231512280145,0.7968388173681356,0.23850973247464802,0.2652140975999999,0.18045257189336397
DZA,0.46697024052,0.467541168084,0.46277324307254236,-3.9107134485099037e-4,0.5544418426737813,0.33927063119389833,0.0855456937190403,0.12714952151999998,0.07059852212097673
ECU,1.149456135852,1.466905092528,1.300429537981017,0.004091476517568677,0.12410560896122853,1.0391324698250848,0.34711070304120645,0.47842580322000017,0.2806064801787992
EGY,0.0538198433016,0.046765070112,0.05139020598447457,-2.0439049369724895e-4,0.12465177805397909,0.07249802308677966,0.017364630678842176,0.021787821636,0.014017243514364838
ERI,0.340813114896,0.330608088456,0.3367784328833898,-5.638380311957724e-4,0.4335989276399368,0.4677936147355932,0.09321560531381906,0.13214061234000002,0.07173423257712151
ESP,0.6622020754919999,0.612865661316,0.6271154336827118,-0.0011618167151887864,0.10743587854452373,0.36185340645355935,0.09424763290316579,0.13434391278000002,0.07751628427828784
EST,0.594889058916,0.688169984016,0.6539387111227118,0.001859786804928125,0.005130264631440759,0.3276184107416949,0.08878569751831654,0.10501711710000006,0.07130509763520827
ETH,1.164116027328,1.180513063956,1.1157910774820339,9.664134117829337e-5,0.9088891984492888,0.8886512723308474,0.10903224445869937,0.14638660859999986,0.08837851500403332
FIN,0.5570164068,0.60736467738,0.586565515258983,9.97869917260095e-4,0.07318282789359372,0.2895917293322034,0.07292950736908518,0.09839464206000015,0.05790789125998277
FJI,2.7819115338000002,3.17849087508,2.9554425939254236,0.005593043509620181,0.3225182470610858,2.1763200583525424,0.7330714299113547,0.8877593321999999,0.5495244692725079
FRA,0.827550000612,0.825361176876,0.8366040001749152,2.7033661767376504e-5,0.9664999584329945,0.30552392588338984,0.08310345139329091,0.1458055253399999,0.06903622731550703
FRO,1.5844500265199999,1.65649002876,1.6242813855864406,0.0030910813465809613,0.07392720934855025,0.7732050588081356,0.22648049481138688,0.29450002200000025,0.16697173488606726
GAB,2.08681712304,1.9664730912,2.0038769098779663,-8.717885790297779e-4,0.5465513538013798,1.3423606545498306,0.18697476505882268,0.24949580879999944,0.14456892321562767
GBR,0.869375182068,0.923739236748,0.8883467547640678,0.0017739756138585696,0.018744377653262194,0.3839707042718644,0.09983035166105801,0.1309460670599999,0.07877510068060903
GEO,0.996624906948,0.993354879048,1.001235867957966,4.4134462753710977e-4,0.6162298708382153,0.37113500605423727,0.11381333046469273,0.1582426090200001,0.09014178422809534
GHA,1.3156617796680001,1.1876236547880001,1.1799647002515254,-0.0016327002874997343,0.19099463387492255,0.7795269751505085,0.16242148127929665,0.14583115151999992,0.11100346000029876
GIN,1.99401447876,1.87080703104,1.8198675804,-0.0016313304475511405,0.19008298356163553,1.873673293220339,0.16195692386211968,0.18303647820000024,0.12466766623728814
GMB,1.167377227044,1.041116613336,0.9912042338705085,-9.517427712729299e-4,0.5364076982025275,1.5139128920684746,0.19908168940124824,0.27699179123999995,0.16248249279409369
GNB,1.78794410316,1.60269728184,1.563575309001356,-0.0014102377075651325,0.433535441285285,2.1660192702915255,0.23311324232447872,0.28964943359999995,0.19408553231731113
GNQ,2.52573484188,2.24194160832,2.376912480935593,-3.940442829222672e-4,0.8739765765320082,1.3036567667247456,0.3207805981564812,0.3124492061999993,0.23096938784900883
GRC,0.624885975144,0.629897156364,0.597938211301017,-2.2925790342257234e-4,0.7402618231247959,0.42009283316745766,0.08932792888216921,0.10048440438000006,0.0679758173074404
GRL,0.626354105124,0.650226965388,0.6514008372427118,3.9105282854937177e-4,0.6044477015231623,0.2722191185044068,0.09757822131229593,0.12481212215999993,0.07905183768944556
GTM,2.82683041188,2.66322111624,2.6308915720271187,-0.0013931552055639377,0.5822812801669579,2.1038798333288136,0.3274301626274916,0.43073104140000007,0.25803176577673076
GUY,2.43554821536,2.50582279356,2.5607173862440678,0.0014356491609817633,0.6727004520413193,1.5831586901633898,0.43910210740272637,0.6162157601999994,0.36175247120942255
HND,1.93213813224,1.80269310552,1.830933520881356,-7.573331315487855e-4,0.7045764741162379,1.2398141118122035,0.2580454509001997,0.3270850919999999,0.20534970212766446
HRV,1.065777767496,1.0586322081719999,1.0084033859552541,2.2163600969490492e-4,0.8259776050132128,0.45992044807322036,0.1301740139636489,0.16329866261999992,0.10270160074500428
HTI,1.450988565852,1.4676747683640001,1.4598590814142374,6.902897963109563e-4,0.7952939900731274,1.1176062605064407,0.3436085077043144,0.4978535369999999,0.2719460500131227
HUN,0.5966453709,0.613438315752,0.5797873076705085,6.567737954342281e-4,0.35176231714983364,0.30587268648,0.09141007687362467,0.10487192016000013,0.06953947199234703
IDN,2.33497404324,2.52578439816,2.4662637546915254,0.0025809721416013426,0.33261953772250086,1.1705460767572882,0.3453615108041975,0.5338714356,0.28545322095099107
IND,1.163180190636,1.17746715204,1.1544627866725423,-3.184942818866056e-4,0.6687937563634649,1.2195034551945763,0.09619500920430508,0.15640668767999988,0.08121675605563919
IRL,1.023858900984,1.0818445764,1.046438822420339,0.0019143263598550616,0.015203969696377977,0.46876004285288136,0.10448262775057485,0.14056461521999997,0.08231012392781385
IRN,0.277181625,0.256403767092,0.2782318796237288,-6.131796584710797e-4,0.11756167919415271,0.2264575720759322,0.051131522041071804,0.06680737272000004,0.04087446504434359
IRQ,0.236208738072,0.201250162548,0.21839344733694915,-7.992913924909453e-4,0.01651518019412508,0.223557049059661,0.04414557086719178,0.05862500640000001,0.03693871238740592
ISL,0.861396877692,0.9936265260720001,0.9514308257247458,0.0024567998918854595,0.005755476395565119,0.39326998680406783,0.11876618936171066,0.14052667200000013,0.0953639737487159
ISR,0.491163880188,0.427658721648,0.46305658876881356,-0.0016695265188638223,0.0602716578156508,0.6270684825925423,0.11652352384825837,0.15042655680000017,0.09401813597777652
ITA,0.8880428741759999,0.87943122312,0.9029641841715255,-8.121697554810299e-4,0.2958724175958209,0.3784332822223729,0.10079483611441062,0.1475480698799999,0.08237492782035048
JAM,2.4143039508,2.42948074536,2.3636505139322033,0.0012154227411338768,0.7994114349085172,1.5849727157715254,0.6176969839001081,0.6831027215999999,0.49627940741350185
JOR,0.286280234556,0.253080666324,0.2756100098481356,-0.001004563914340153,0.07489253564919929,0.3905499496942373,0.07384207497600094,0.08824931399999997,0.058863313518529164
JPN,1.60247259096,1.70957538492,1.6213325634874576,0.0013926116675067244,0.31600399138802987,0.860071559180339,0.18010809030362704,0.20868777299999985,0.14166146237674232
KAZ,0.333816773304,0.345825363888,0.3306870044298305,5.268958718223268e-4,0.08830697488832392,0.12049939966494916,0.04042630514904137,0.04371654216000004,0.03105172248523987
KEN,1.274988388692,1.337934918444,1.1782894312881356,3.11203799915907e-4,0.8484411145343308,0.7063980196311864,0.2102715068836188,0.2831510878800001,0.1608999719437403
KGZ,0.438520395168,0.445030821588,0.4333301899708475,7.564329099310177e-4,0.23631623185526268,0.27831604004338983,0.08297857296722312,0.0765510291,0.06141159961027293
KHM,1.72120149012,1.7591237341200001,1.7292913287254237,8.016658471070026e-4,0.6064137122120035,1.436147367301017,0.2011279339190607,0.2955589620000001,0.1632948058114335
KIR,0.864810011472,1.04600000004,1.0449339101288135,0.0012065513391934287,0.7369790187380776,0.8750321904406779,0.4640371072566705,0.176149989,0.27542534089289283
KOR,1.408964206536,1.3375857908639999,1.3678195419294916,3.028239937206721e-4,0.8655381145780584,1.3274104078006779,0.23091846170697947,0.2789723136000002,0.18294925434249928
